Time,CH1 (V),CH2 (V),CH3 (V),CH4 (V),CH5 (m/s^2),CH6 (m/s^2),CH7 (m/s^2),CH8 (C)
2025-06-23_17-01-37.453,1.026052,1.026021,1.026052,1.026021,0.0686,0.0196,9.888201,23.118103
2025-06-23_17-01-37.712,1.026052,1.026021,1.026052,1.026021,0.0686,0.0196,9.937201,23.118103
2025-06-23_17-01-37.979,1.026052,1.026021,1.026052,1.026021,0.0882,0.0294,9.790201,23.118103
2025-06-23_17-01-38.241,1.026052,1.026021,1.026052,1.026021,0.1274,0.0686,10.0744,23.118103
2025-06-23_17-01-38.506,1.026052,1.026021,1.026052,1.026021,0.1078,0.0392,9.947001,23.118103
2025-06-23_17-01-38.757,1.026052,1.026021,1.026052,1.026021,0.0686,-0.0196,9.917601,23.118103
2025-06-23_17-01-39.021,1.026052,1.026021,1.026052,1.026021,0.0686,0.0098,9.937201,23.118103
2025-06-23_17-01-39.285,1.026052,1.026021,1.026052,1.026021,0.0784,0.0098,9.947001,23.118103
2025-06-23_17-01-39.550,1.026052,1.026021,1.026052,1.026021,0.0686,0.0392,9.937201,23.118103
2025-06-23_17-01-39.814,1.026052,1.026021,1.026052,1.026021,-0.049,-0.5978,9.5844,23.118103
2025-06-23_17-01-40.077,1.026052,1.026021,1.026052,1.026021,2.0972,-0.1176,9.31,23.118103
2025-06-23_17-01-40.342,1.026052,1.026021,1.026052,1.026021,4.2238,-0.2548,8.4182,23.118103
2025-06-23_17-01-40.608,1.026052,1.026021,1.026052,1.026021,4.8902,1.568,8.300601,23.118103
2025-06-23_17-01-40.872,1.026052,1.026021,1.026052,1.026021,2.4108,2.597,8.8886,23.118103
2025-06-23_17-01-41.136,1.026052,1.026021,1.026052,1.026021,-0.5782,0.1666,10.0744,23.016174
2025-06-23_17-01-41.398,1.026052,1.026021,1.026052,1.026021,1.1368,-1.568,8.8592,23.016174
2025-06-23_17-01-41.651,1.026052,1.026021,1.026052,1.026021,5.6154,-0.3136,7.173601,23.016174
2025-06-23_17-01-41.914,1.026052,1.026021,1.026052,1.026021,3.4398,1.9208,8.839601,23.016174
2025-06-23_17-01-42.179,1.026052,1.026021,1.026052,1.026021,0.7448,0.4508,9.3296,23.016174
2025-06-23_17-01-42.442,1.026052,1.026021,1.026052,1.026021,1.568,-0.9898,9.280601,23.118103
2025-06-23_17-01-42.707,1.026052,1.026021,1.026052,1.026021,4.998001,2.2932,9.466801,23.016174
2025-06-23_17-01-42.970,1.026052,1.026021,1.026052,1.026021,1.9796,2.2834,8.918,23.016174
2025-06-23_17-01-43.234,1.026052,1.026021,1.026052,1.026021,-0.7056,0.4116,8.8788,23.016174
2025-06-23_17-01-43.499,1.026052,1.026021,1.026052,1.026021,1.7346,-1.323,10.113601,23.016174
2025-06-23_17-01-43.763,1.026052,1.026021,1.026052,1.026021,2.303,-0.1176,8.584801,23.016174
2025-06-23_17-01-44.028,1.026052,1.026021,1.026052,1.026021,2.6264,0.539,9.623601,23.016174
2025-06-23_17-01-44.293,1.026052,1.026021,1.026052,1.026021,1.617,0.441,11.3288,23.016174
2025-06-23_17-01-44.558,1.026052,1.026021,1.026052,1.026021,1.4798,0.2842,11.172001,23.016174
2025-06-23_17-01-44.823,1.026052,1.026021,1.026052,1.026021,0.637,0.1078,10.368402,23.016174
2025-06-23_17-01-45.087,1.026052,1.026021,1.026052,1.026021,0.2254,0.0294,9.849,23.016174
2025-06-23_17-01-45.352,1.026052,1.026021,1.026052,1.026021,0.1666,0.0392,9.898,23.016174
2025-06-23_17-01-45.603,1.026052,1.026021,1.026052,1.026021,0.1274,0.0196,9.907801,23.016174
